1993.25	5.25667	8.06667	6.391276052
1993.5	5.12667	7.24667	1.133619311
1993.75	4.95667	6.72667	1.318959457
1994	4.83	6.81667	0.564016954
1994.25	4.85667	8.27667	7.167257559
1994.5	5.28333	8.74	0.091903648
1994.75	5.64667	8.77667	2.574266311
1995	6.06	8.76667	3.558161745
1995.25	6.29	8.35667	7.201068994
1995.5	6.57	8.24	1.068732594
1995.75	6.39	7.91333	0.622580172
1996	5.93667	7.88333	2.037588468
1996.25	5.73333	8.21333	5.18093157
1996.5	5.52333	7.99	0.69728452
1996.75	5.91333	7.67	2.430718648
1997	5.91333	7.5	2.330797176
1997.25	6.20333	7.41	5.045303612
1997.5	6.78	7.06	3.890020461
1997.75	7.02667	6.56667	3.18522526
1998	6.89	6.10333	1.250628883
1998.25	7.1	5.89	7.339463732
1998.5	7.11667	5.57	1.305259074
1998.75	6.19	4.82	1.787921655
1999	5.08	4.39	-1.706308337
1999.25	4.86333	4.82	4.212291384
1999.5	4.91	5.39333	0.321942808
1999.75	5.29667	5.45667	2.968282595
2000	5.80333	5.6	1.59490687
2000.25	5.90667	5.30667	7.413658798
2000.5	5.80667	5.31333	0.624602794
2000.75	5.68333	5.08667	2.488703412
2001	5.39333	4.90333	-0.465118669
2001.25	5.03	5.18	4.937133025
2001.5	4.72	5.13	0.153197418
2001.75	3.92333	4.82333	-0.459768389
2002	3.89	5.13333	0.229729423
2002.25	3.96667	5.29	4.954214825
2002.5	3.8	4.71333	1.36088251
2002.75	3.79667	4.52333	3.532290714
2003	3.59	4.33667	2.238388911
2003.25	3.45333	4.35333	4.733546115
2003.5	3.41	4.62333	1.028143929
2003.75	3.76333	5	2.486033583
2004	3.99333	4.82667	1.963058483
2004.25	4.37	5.12667	5.402835586
2004.5	4.68333	5.04	2.354453796
2004.75	4.67333	4.71	3.682114053
2005	4.70667	4.71	1.056074381
2005.25	4.66	4.47667	4.751939792
2005.5	4.42333	4.3	1.456461806
2005.75	4.41667	4.34667	2.138914968
2006	4.39	4.07	1.100772819
2006.25	4.48667	4.45333	6.876173875
2006.5	4.70667	4.47333	3.425092646
2006.75	5.01	4.5	4.258641998
2007	5.32333	4.86333	3.231627354
2007.25	5.55	5.24333	6.38596824
2007.5	5.75	5.23333	1.612201404
2007.75	5.47	4.81333	5.178757225
2008	5.00667	4.37667	2.408063315
2008.25	4.96333	4.87333	7.880963761
2008.5	4.92333	5.08333	3.822956905
2008.75	2.32333	4.00333	-3.388061888
2009	0.736667	3.53667	-8.632457002
2009.25	0.553333	3.58333	3.086130059
2009.5	0.403333	3.73	3.374272449
